Class,Description
01113,Self catering apartments
01121,Growing of herbaceous cotton and other fibrous tanners
01130,Growing of sugar cane
01148,Smoking Crop
01156,Soybean cultivation
01164,"Growing of temporary crops, except soybean"
01199,Growing of temporary crops not elsewhere specified
01211,Horticulture
01229,Growing of flowers and ornamental plants
01318,Orange cultivation
01326,Grape cultivation
01334,Growing of permanent crops except orange and grape
01342,Coffee cultivation
01351,Cacao cultivation
01393,Growing of non-perennial crops
01415,Production of certified seeds
01423,"Production of seedlings and other forms of plant propagation, certified"
01512,Breeding of cattle
01521,Creation of other large animals
01539,Raising of goats and sheep
01547,Breeding of pigs
01555,Breeding of birds
01598,Breeding of animals not elsewhere specified
01610,Support activities for agriculture
01628,Livestock support activities
01636,Post-harvest activities
01709,Hunting and related services
02101,Forestry production - planted forests
02209,Forest production - native forests
02306,Support activities for forestry production
03116,Fishing in salt water
03124,Freshwater fishing
03213,Aquaculture in salt and brackish water
03221,Freshwater aquaculture
05003,Extraction of coal
06000,Extraction of oil and natural gas
07103,Extraction of iron ore
07219,Extraction of aluminum ore
07227,Extraction of tin ore
07235,Extraction of manganese ore
07243,Extraction of ore from precious metals
07251,Extraction of radioactive minerals
07294,Extraction of non-ferrous metal ores not elsewhere specified
08100,"Extraction of stone, sand and clay"
08916,"Extraction of minerals for the manufacture of fertilizers, fertilizers and other chemical products"
08924,Extraction and refining of sea salt and rock salt
08932,Extraction of gemstones (precious and semi-precious stones)
08991,Extraction of nonmetallic minerals not specified above
09106,Support activities for the extraction of oil and natural gas
09904,"Activities to support the extraction of minerals, other than oil and natural gas"
10112,"Slaughter of cattle, other than pigs"
10121,"Slaughter of pigs, poultry and other small animals"
10139,Manufacture of meat products
10201,Preservation of fish and manufacture of fish products
10317,Manufacture of canned fruit
10325,Manufacture of canned vegetables and other vegetables
10333,"Manufacture of fruit juices, vegetables and legumes"
10414,Manufacture of crude vegetable oils other than maize oil
10422,"Manufacture of refined vegetable oils, other than maize"
10431,Manufacture of margarine and other vegetable fats and oils of animal origin
10511,Preparation of milk
10520,Manufacture of dairy products
10538,Manufacture of ice cream and other edible ice-cream
10619,Processing of rice and manufacture of rice products
10627,Wheat milling and manufacture of by-products
10635,Manufacture of manioc flour and
10643,"Manufacture of corn flour and products, other than maize"
10651,Manufacture of grain starches and starches
10660,Manufacture of animal feed
10694,Grinding and manufacture of products of vegetable origin nes
10716,Manufacture of raw sugar
10724,Manufacture of refined sugar
10813,Roasting and grinding of coffee
10821,Manufacture of coffee products
10911,Manufacture of bakery products
10929,Manufacture of biscuits and biscuits
10937,"Manufacture of products derived from cocoa, chocolate and confectionery"
10945,Manufacture of macaroni
10953,"Manufacture of spices, seasonings, herbs and spices"
10961,Manufacture of ready-made foods and dishes
10996,Manufacture of food products nec
11119,Manufacture of spirits and other distilled beverages
11127,Manufacture of wine
11135,"Manufacture of malt, beer and beer"
11216,Manufacture of bottled water
11224,Manufacture of soft drinks and other non-alcoholic beverages
12107,Industrial smoke processing
12204,Manufacture of tobacco products
13111,Preparation and spinning of cotton fibers
13120,"Preparation and spinning of natural textile fibers, other than cotton"
13138,Wiring of artificial and synthetic fibers
13146,Manufacture of sewing and embroidery lines
13219,Weaving of cotton yarn
13227,"Weaving of natural textile fibers, other than cotton"
13235,Weaving of artificial and synthetic fibers
13308,Manufacture of knitted and crocheted fabrics
13405,"Textile yarn, fabric and textile finishing"
13511,Manufacture of other fabricated metal products
13529,Manufacture of upholstery products
13537,Manufacture of paper and paper products
13545,Manufacture of special fabrics including artifacts
13596,Manufacture of other textiles nec
14118,Clothing manufacture
14126,"Manufacture of garments, except underwear"
14134,Clothing industry
14142,"Manufacture of wearing apparel, except for safety and protection"
14215,Manufacture of socks
14223,"Manufacture of articles of apparel, knitted or crocheted, other than knitted or crocheted"
15106,Tanning and other leather preparations
15211,"Manufacture of travel goods, handbags and the like"
15297,Manufacture of leather articles not elsewhere classified
15319,Manufacture of leather footwear
15327,Manufacture of sneakers
15335,Manufacture of synthetic leather footwear
15394,Manufacture of footwear of material not otherwise specified
15408,"Manufacture of parts for footwear, of any material"
16102,Wood splitting
16218,"Manufacture of veneer sheet and plywood, pressed and bonded"
16226,Manufacture of builders' carpentry and joinery
16234,Manufacture of other fabricated metal products
16293,"Manufacture of articles of wood, straw, cork, wicker and plaiting materials, not elsewhere classified, other than furniture"
17109,Manufacture of pulp and paper pulp
17214,Manufacture of paper
17222,Manufacture of paper and paperboard
17311,Manufacture of paper products
17320,Manufacture of paper and paper products
17338,Manufacture of corrugated board and sheet metal products
17419,"Manufacture of paper products, paperboard, cardboard and corrugated paper for commercial and office use"
17427,Manufacture of paper products for household and sanitary purposes
17494,"Manufacture of pulp, paper, paperboard, corrugated paperboard and cardboard products not elsewhere classified"
18113,"Printing of newspapers, books, magazines and other periodicals"
18121,Printing of security material
18130,Printing of materials for other uses
18211,Prepress Services
18229,Graphic finishing services
18300,Playback of recorded material on any media
19101,Coquerias
19217,Manufacture of petroleum refining products
19225,"Manufacture of petroleum products, except refining products"
19314,Manufacture of alcohol
19322,"Manufacture of biofuels, except alcohol"
20118,Manufacture of chlorine and alkalis
20126,Manufacture of fertilizers
20134,Manufacture of fertilizers
20142,Manufacture of industrial gases
20193,Manufacture of inorganic chemicals nec
20215,Manufacture of basic petrochemical products
20223,"Manufacture of intermediates for plasticizers, resins and fibers"
20291,Manufacture of organic chemicals
20312,Manufacture of thermoplastic resins
20321,Manufacture of thermosetting resins
20339,Manufacture of elastomers
20401,Manufacture of artificial and synthetic fibers
20517,Manufacture of pesticides
20525,Manufacture of disinfectants
20614,Manufacture of synthetic soaps and detergents
20622,Manufacture of cleaning and polishing products
20631,"Manufacture of cosmetics, perfumery and toilet preparations"
20711,"Manufacture of paints, varnishes, enamels and lacquers"
20720,Manufacture of printing inks
20738,"Manufacture of water-proofing materials, solvents and related products"
20916,Manufacture of adhesives and sealants
20924,Manufacture of explosives
20932,Manufacture of additives for industrial use
20941,Manufacture of catalysts
20991,Manufacture of chemicals not classified elsewhere
21106,Manufacture of pharmaceutical products
21211,Manufacture of medicinal products for human use
21220,Manufacture of veterinary preparations
21238,Manufacture of pharmaceutical preparations
22111,Manufacture of tires and inner tubes
22129,Repairs of used tires
22196,Manufacture of rubber products not elsewhere classified
22218,Manufacture of plastics and metal products
22226,Manufacture of plastic packaging
22234,Manufacture of plastic pipes and fittings for construction purposes
22293,Manufacture of articles of plastics
23117,Manufacture of flat glass and security glass
23125,Manufacture of glass containers
23192,Manufacture of glassware
23206,Manufacture of cement
23303,"Manufacture of articles of concrete, cement, cement, plaster and similar materials"
23419,Manufacture of refractory products
23427,Manufacture of non-refractory ceramic products for structural use in construction
23494,Manufacture of non-refractory ceramic products nec
23915,Rigging and other stone working
23923,Manufacture of lime and plaster
23991,Manufacture of non-metallic mineral products
24113,Pig iron production
24121,Production of ferroalloys
24211,Production of semi-finished steel
24229,Production of steel flat-rolled products
24237,Production of long rolled steel
24245,"Production of re-rolled, drawn and steel sections"
24318,Manufacture of welded steel tubes
24393,Production of other iron and steel pipes
24415,Metallurgy of aluminum and their alloys
24423,Metallurgy of precious metals
24431,Copper metallurgy
