Group,Description
011,Production of temporary crops
012,Horticulture and floriculture
013,Production of permanent crops
014,Production of certified seed and seedlings
015,Real Estate Management
016,Support activities for agriculture and livestock; post-harvest activities
017,Hunting and related services
021,Forestry production - planted forests
022,Forest production - native forests
023,Support activities for forestry production
031,Fishing
032,Aquaculture
050,Extraction of coal
060,Extraction of oil and natural gas
071,Extraction of iron ore
072,Extraction of non-ferrous metal ores
081,"Extraction of stone, sand and clay"
089,Extraction of other non-metallic minerals
091,Support activities for the extraction of oil and natural gas
099,"Activities to support the extraction of minerals, other than oil and natural gas"
101,Slaughter and manufacture of meat products
102,Preservation of fish and manufacture of fish products
103,Manufacture of canned fruit and vegetables
104,Manufacture of vegetable and animal oils and fats
105,Dairy Products
106,"Grinding, manufacture of starch products and animal feed"
107,Manufacture and refining of sugar
108,Roasting and grinding of coffee
109,Manufacture of other food products
111,Manufacture of alcoholic beverages
112,Manufacture of non-alcoholic beverages
121,Industrial smoke processing
122,Manufacture of tobacco products
131,Preparation and spinning of textile fibers
132,"Weaving, except knitted"
133,Manufacture of knitted and crocheted fabrics
134,"Textile yarn, fabric and textile finishing"
135,Manufacture of other textile products
141,Manufacture of wearing apparel and accessories
142,Manufacture of knitted and crocheted articles
151,Tanning and other leather preparations
152,Manufacture of luggage and leather articles
153,Manufacture of footwear
154,"Manufacture of parts for footwear, of any material"
161,Wood splitting
162,"Manufacture of products of wood, cork and plaited materials, other than furniture"
171,Manufacture of pulp and paper pulp
172,Manufacture of paper and paperboard
173,"Manufacture of paper and paperboard, corrugated cardboard and paperboard"
174,"Manufacture of other products from paper, paperboard, paperboard and corrugated cardboard"
181,Print Activity
182,Pre-press services and graphic finishing
183,Playback of recorded material on any media
191,Coquerias
192,Manufacture of petroleum products
193,Manufacture of biofuels
201,Manufacture of inorganic chemicals
202,Manufacture of organic chemicals
203,Manufacture of resins and elastomers
204,Manufacture of artificial and synthetic fibers
205,"Manufacture of pesticides, disinfectants and pesticides"
206,"Manufacture of soap, detergents, cleaning products, cosmetics, perfumery and personal care products"
207,"Manufacture of paints, varnishes, enamels, lacquers and related products"
209,Manufacture of other chemical products and preparations
211,Manufacture of pharmaceutical products
212,Manufacture of pharmaceutical products
221,Manufacture of rubber products
222,Manufacture of plastic products
231,Manufacture of glass and glass products
232,Manufacture of cement
233,"Manufacture of articles of concrete, cement, cement, plaster and similar materials"
234,Manufacture of ceramic products
239,Stone working and other non-metallic mineral products manufacturing
241,Manufacture of pig iron and ferro-alloys
242,Siderurgy
243,"Manufacture of steel tubes, other than seamless pipes and tubes"
244,Metallurgy of non-ferrous metals
245,Foundry
251,Manufacture of builders' carpentry and joinery
252,"Manufacture of tanks, reservoirs, metallic and boiler"
253,"Forging, stamping, powder metallurgy and metal processing services"
254,"Manufacture of cutlery, hardware and tools"
255,"Manufacture of heavy military equipment, weapons and ammunition"
259,Manufacture of metal products nec
261,Manufacture of electronic components
262,Manufacture of computer and peripheral equipment
263,Manufacture of communication equipment
264,"Manufacture of audio, video recording, reception and reproducing apparatus"
265,"Manufacture of apparatus and instruments for measuring, testing and control; chronometers and clocks"
266,Manufacture of electromedical and electrotherapeutic equipment and irradiation equipment
267,"Manufacture of optical, photographic and cinematographic equipment and instruments"
268,"Manufacture of virgin, magnetic and optical media"
271,"Manufacture of generators, transformers and electric motors"
272,"Manufacture of batteries, electric accumulators and batteries"
273,Manufacture of electricity distribution and control equipment
274,Manufacture of lamps and lighting equipment
275,Manufacture of household appliances
279,Manufacture of electrical equipment and apparatus not elsewhere classified
281,"Manufacture of engines, pumps, compressors and transmission equipment"
282,Manufacture of other general-purpose machinery and equipment
283,Manufacture of tractors and machinery and equipment for agriculture and livestock
284,Manufacture of machine tools
285,Manufacture of machinery and equipment for mineral extraction and construction
286,Manufacture of machinery and equipment for specific industrial use
291,"Manufacture of cars, vans and SUV's"
292,Manufacture of trucks and buses
293,"Manufacture of cabins, coachwork and trailers for motor vehicles"
294,Manufacture of parts and accessories for motor vehicles
295,Reconditioning and recovery of engines for motor vehicles
